Fecha;Mes;Canal;Dispositivo;Edad;Género;Visitas;Visitas recurrentes;Pedidos;Precio medio;Número medio artículos;Suscripciones newletter;Suscripciones web
01/01/2021;Total;Total;Total;Total;Total;1000;300;10;40;2,5;520;260
02/01/2021;Total;Total;Total;Total;Total;1500;200;12;35;3;680;340
03/01/2021;Total;Total;Total;Total;Total;1500;500;8;36;1,5;800;400
04/01/2021;Total;Total;Total;Total;Total;1800;600;12;42;2,5;960;480
05/01/2021;Total;Total;Total;Total;Total;2000;300;12;56;4;920;460
06/01/2021;Total;Total;Total;Total;Total;2000;300;12;57;2;920;460
07/01/2021;Total;Total;Total;Total;Total;2100;400;11;35;2,5;1000;500
08/01/2021;Total;Total;Total;Total;Total;2200;500;10;45;3;1080;540
09/01/2021;Total;Total;Total;Total;Total;1800;300;9;60;1,5;840;420
10/01/2021;Total;Total;Total;Total;Total;1900;400;11;70;2,5;920;460
11/01/2021;Total;Total;Total;Total;Total;2200;500;9;45;4;1080;540
12/01/2021;Total;Total;Total;Total;Total;2000;300;10;46;2;920;460
13/01/2021;Total;Total;Total;Total;Total;2100;400;11;35;2,5;1000;500
14/01/2021;Total;Total;Total;Total;Total;2400;500;12;65;3;1160;580
15/01/2021;Total;Total;Total;Total;Total;2500;400;11;50;1,5;1160;580
16/01/2021;Total;Total;Total;Total;Total;2400;200;10;45;2,5;1040;520
17/01/2021;Total;Total;Total;Total;Total;2200;500;11;65;4;1080;540
18/01/2021;Total;Total;Total;Total;Total;2600;600;12;70;2;1280;640
19/01/2021;Total;Total;Total;Total;Total;2700;400;13;35;2,5;1240;620
20/01/2021;Total;Total;Total;Total;Total;2500;300;11;45;3;1120;560
21/01/2021;Total;Total;Total;Total;Total;2600;500;13;55;1,5;1240;620
22/01/2021;Total;Total;Total;Total;Total;2700;600;14;67;2,5;1320;660
23/01/2021;Total;Total;Total;Total;Total;2400;400;12;77;4;1120;560
24/01/2021;Total;Total;Total;Total;Total;2300;300;10;40;2;1040;520
25/01/2021;Total;Total;Total;Total;Total;2800;400;11;35;2,5;1280;640
26/01/2021;Total;Total;Total;Total;Total;2900;600;9;36;3;1400;700
27/01/2021;Total;Total;Total;Total;Total;3000;500;14;42;1,5;1400;700
28/01/2021;Total;Total;Total;Total;Total;3100;600;15;56;2,5;1480;740
29/01/2021;Total;Total;Total;Total;Total;2900;400;14;57;4;1320;660
30/01/2021;Total;Total;Total;Total;Total;2800;200;12;35;2;1200;600
31/01/2021;Total;Total;Total;Total;Total;2950;400;13;45;2,5;1340;670
01/02/2021;Total;Total;Total;Total;Total;3200;600;15;60;3;1520;760
02/02/2021;Total;Total;Total;Total;Total;3300;400;13;70;1,5;1480;740
03/02/2021;Total;Total;Total;Total;Total;3100;400;12;45;2,5;1400;700
04/02/2021;Total;Total;Total;Total;Total;3200;500;14;46;4;1480;740
05/02/2021;Total;Total;Total;Total;Total;3100;300;13;35;2;1360;680
06/02/2021;Total;Total;Total;Total;Total;3500;400;15;65;2,5;1560;780
07/02/2021;Total;Total;Total;Total;Total;3600;500;15;50;3;1640;820
08/02/2021;Total;Total;Total;Total;Total;3300;300;12;45;1,5;1440;720
09/02/2021;Total;Total;Total;Total;Total;3600;600;16;65;2,5;1680;840
10/02/2021;Total;Total;Total;Total;Total;3500;500;15;70;4;1600;800
11/02/2021;Total;Total;Total;Total;Total;3400;400;14;35;2;1520;760
12/02/2021;Total;Total;Total;Total;Total;3700;500;13;45;2,5;1680;840
13/02/2021;Total;Total;Total;Total;Total;3800;300;15;55;3;1640;820
14/02/2021;Total;Total;Total;Total;Total;3900;600;16;67;1,5;1800;900
15/02/2021;Total;Total;Total;Total;Total;3800;500;15;77;2,5;1720;860
16/02/2021;Total;Total;Total;Total;Total;3900;600;14;40;4;1800;900
17/02/2021;Total;Total;Total;Total;Total;4000;700;16;35;2;1880;940
18/02/2021;Total;Total;Total;Total;Total;4100;700;16;36;2,5;1920;960
19/02/2021;Total;Total;Total;Total;Total;3900;400;14;42;3;1720;860
20/02/2021;Total;Total;Total;Total;Total;4200;600;16;56;1,5;1920;960
21/02/2021;Total;Total;Total;Total;Total;4000;500;15;57;2,5;1800;900
22/02/2021;Total;Total;Total;Total;Total;4100;600;14;35;4;1880;940
23/02/2021;Total;Total;Total;Total;Total;4300;500;15;45;2;1920;960
24/02/2021;Total;Total;Total;Total;Total;4400;600;16;60;2,5;2000;1000
25/02/2021;Total;Total;Total;Total;Total;4500;700;16;70;3;2080;1040
26/02/2021;Total;Total;Total;Total;Total;4300;600;14;45;1,5;1960;980
27/02/2021;Total;Total;Total;Total;Total;4500;700;15;46;2,5;2080;1040
28/02/2021;Total;Total;Total;Total;Total;4600;700;16;35;4;2120;1060
01/01/2021;Total;Total;Total;Total;Hombre;500;150;5;40;2,5;260;130
02/01/2021;Total;Total;Total;Total;Hombre;750;100;6;35;3;340;170
03/01/2021;Total;Total;Total;Total;Hombre;750;250;4;36;1,5;400;200
04/01/2021;Total;Total;Total;Total;Hombre;900;300;6;42;2,5;480;240
05/01/2021;Total;Total;Total;Total;Hombre;1000;150;6;56;4;460;230
06/01/2021;Total;Total;Total;Total;Hombre;1000;150;6;57;2;460;230
07/01/2021;Total;Total;Total;Total;Hombre;1050;200;5,5;35;2,5;500;250
08/01/2021;Total;Total;Total;Total;Hombre;1100;250;5;45;3;540;270
09/01/2021;Total;Total;Total;Total;Hombre;900;150;4,5;60;1,5;420;210
10/01/2021;Total;Total;Total;Total;Hombre;950;200;5,5;70;2,5;460;230
11/01/2021;Total;Total;Total;Total;Hombre;1100;250;4,5;45;4;540;270
12/01/2021;Total;Total;Total;Total;Hombre;1000;150;5;46;2;460;230
13/01/2021;Total;Total;Total;Total;Hombre;1050;200;5,5;35;2,5;500;250
14/01/2021;Total;Total;Total;Total;Hombre;1200;250;6;65;3;580;290
15/01/2021;Total;Total;Total;Total;Hombre;1250;200;5,5;50;1,5;580;290
16/01/2021;Total;Total;Total;Total;Hombre;1200;100;5;45;2,5;520;260
17/01/2021;Total;Total;Total;Total;Hombre;1100;250;5,5;65;4;540;270
18/01/2021;Total;Total;Total;Total;Hombre;1300;300;6;70;2;640;320
19/01/2021;Total;Total;Total;Total;Hombre;1350;200;6,5;35;2,5;620;310
20/01/2021;Total;Total;Total;Total;Hombre;1250;150;5,5;45;3;560;280
21/01/2021;Total;Total;Total;Total;Hombre;1300;250;6,5;55;1,5;620;310
22/01/2021;Total;Total;Total;Total;Hombre;1350;300;7;67;2,5;660;330
23/01/2021;Total;Total;Total;Total;Hombre;1200;200;6;77;4;560;280
24/01/2021;Total;Total;Total;Total;Hombre;1150;150;5;40;2;520;260
25/01/2021;Total;Total;Total;Total;Hombre;1400;200;5,5;35;2,5;640;320
26/01/2021;Total;Total;Total;Total;Hombre;1450;300;4,5;36;3;700;350
27/01/2021;Total;Total;Total;Total;Hombre;1500;250;7;42;1,5;700;350
28/01/2021;Total;Total;Total;Total;Hombre;1550;300;7,5;56;2,5;740;370
29/01/2021;Total;Total;Total;Total;Hombre;1450;200;7;57;4;660;330
30/01/2021;Total;Total;Total;Total;Hombre;1400;100;6;35;2;600;300
31/01/2021;Total;Total;Total;Total;Hombre;1475;200;6,5;45;2,5;670;335
01/02/2021;Total;Total;Total;Total;Hombre;1600;300;7,5;60;3;760;380
02/02/2021;Total;Total;Total;Total;Hombre;1650;200;6,5;70;1,5;740;370
03/02/2021;Total;Total;Total;Total;Hombre;1550;200;6;45;2,5;700;350
04/02/2021;Total;Total;Total;Total;Hombre;1600;250;7;46;4;740;370
05/02/2021;Total;Total;Total;Total;Hombre;1550;150;6,5;35;2;680;340
06/02/2021;Total;Total;Total;Total;Hombre;1750;200;7,5;65;2,5;780;390
07/02/2021;Total;Total;Total;Total;Hombre;1800;250;7,5;50;3;820;410
08/02/2021;Total;Total;Total;Total;Hombre;1650;150;6;45;1,5;720;360
09/02/2021;Total;Total;Total;Total;Hombre;1800;300;8;65;2,5;840;420
10/02/2021;Total;Total;Total;Total;Hombre;1750;250;7,5;70;4;800;400
11/02/2021;Total;Total;Total;Total;Hombre;1700;200;7;35;2;760;380
12/02/2021;Total;Total;Total;Total;Hombre;1850;250;6,5;45;2,5;840;420
13/02/2021;Total;Total;Total;Total;Hombre;1900;150;7,5;55;3;820;410
14/02/2021;Total;Total;Total;Total;Hombre;1950;300;8;67;1,5;900;450
15/02/2021;Total;Total;Total;Total;Hombre;1900;250;7,5;77;2,5;860;430
16/02/2021;Total;Total;Total;Total;Hombre;1950;300;7;40;4;900;450
17/02/2021;Total;Total;Total;Total;Hombre;2000;350;8;35;2;940;470
18/02/2021;Total;Total;Total;Total;Hombre;2050;350;8;36;2,5;960;480
19/02/2021;Total;Total;Total;Total;Hombre;1950;200;7;42;3;860;430
20/02/2021;Total;Total;Total;Total;Hombre;2100;300;8;56;1,5;960;480
21/02/2021;Total;Total;Total;Total;Hombre;2000;250;7,5;57;2,5;900;450
22/02/2021;Total;Total;Total;Total;Hombre;2050;300;7;35;4;940;470
23/02/2021;Total;Total;Total;Total;Hombre;2150;250;7,5;45;2;960;480
24/02/2021;Total;Total;Total;Total;Hombre;2200;300;8;60;2,5;1000;500
25/02/2021;Total;Total;Total;Total;Hombre;2250;350;8;70;3;1040;520
26/02/2021;Total;Total;Total;Total;Hombre;2150;300;7;45;1,5;980;490
27/02/2021;Total;Total;Total;Total;Hombre;2250;350;7,5;46;2,5;1040;520
28/02/2021;Total;Total;Total;Total;Hombre;2300;350;8;35;4;1060;530
01/01/2021;Total;Total;Total;Total;Mujer;500;150;5;40;2,5;260;130
02/01/2021;Total;Total;Total;Total;Mujer;750;100;6;35;3;340;170
03/01/2021;Total;Total;Total;Total;Mujer;750;250;4;36;1,5;400;200
04/01/2021;Total;Total;Total;Total;Mujer;900;300;6;42;2,5;480;240
05/01/2021;Total;Total;Total;Total;Mujer;1000;150;6;56;4;460;230
06/01/2021;Total;Total;Total;Total;Mujer;1000;150;6;57;2;460;230
07/01/2021;Total;Total;Total;Total;Mujer;1050;200;5,5;35;2,5;500;250
08/01/2021;Total;Total;Total;Total;Mujer;1100;250;5;45;3;540;270
09/01/2021;Total;Total;Total;Total;Mujer;900;150;4,5;60;1,5;420;210
10/01/2021;Total;Total;Total;Total;Mujer;950;200;5,5;70;2,5;460;230
11/01/2021;Total;Total;Total;Total;Mujer;1100;250;4,5;45;4;540;270
12/01/2021;Total;Total;Total;Total;Mujer;1000;150;5;46;2;460;230
13/01/2021;Total;Total;Total;Total;Mujer;1050;200;5,5;35;2,5;500;250
14/01/2021;Total;Total;Total;Total;Mujer;1200;250;6;65;3;580;290
15/01/2021;Total;Total;Total;Total;Mujer;1250;200;5,5;50;1,5;580;290
16/01/2021;Total;Total;Total;Total;Mujer;1200;100;5;45;2,5;520;260
17/01/2021;Total;Total;Total;Total;Mujer;1100;250;5,5;65;4;540;270
18/01/2021;Total;Total;Total;Total;Mujer;1300;300;6;70;2;640;320
19/01/2021;Total;Total;Total;Total;Mujer;1350;200;6,5;35;2,5;620;310
20/01/2021;Total;Total;Total;Total;Mujer;1250;150;5,5;45;3;560;280
21/01/2021;Total;Total;Total;Total;Mujer;1300;250;6,5;55;1,5;620;310
22/01/2021;Total;Total;Total;Total;Mujer;1350;300;7;67;2,5;660;330
23/01/2021;Total;Total;Total;Total;Mujer;1200;200;6;77;4;560;280
24/01/2021;Total;Total;Total;Total;Mujer;1150;150;5;40;2;520;260
25/01/2021;Total;Total;Total;Total;Mujer;1400;200;5,5;35;2,5;640;320
26/01/2021;Total;Total;Total;Total;Mujer;1450;300;4,5;36;3;700;350
27/01/2021;Total;Total;Total;Total;Mujer;1500;250;7;42;1,5;700;350
28/01/2021;Total;Total;Total;Total;Mujer;1550;300;7,5;56;2,5;740;370
29/01/2021;Total;Total;Total;Total;Mujer;1450;200;7;57;4;660;330
30/01/2021;Total;Total;Total;Total;Mujer;1400;100;6;35;2;600;300
31/01/2021;Total;Total;Total;Total;Mujer;1475;200;6,5;45;2,5;670;335
01/02/2021;Total;Total;Total;Total;Mujer;1600;300;7,5;60;3;760;380
02/02/2021;Total;Total;Total;Total;Mujer;1650;200;6,5;70;1,5;740;370
03/02/2021;Total;Total;Total;Total;Mujer;1550;200;6;45;2,5;700;350
04/02/2021;Total;Total;Total;Total;Mujer;1600;250;7;46;4;740;370
05/02/2021;Total;Total;Total;Total;Mujer;1550;150;6,5;35;2;680;340
06/02/2021;Total;Total;Total;Total;Mujer;1750;200;7,5;65;2,5;780;390
07/02/2021;Total;Total;Total;Total;Mujer;1800;250;7,5;50;3;820;410
08/02/2021;Total;Total;Total;Total;Mujer;1650;150;6;45;1,5;720;360
09/02/2021;Total;Total;Total;Total;Mujer;1800;300;8;65;2,5;840;420
10/02/2021;Total;Total;Total;Total;Mujer;1750;250;7,5;70;4;800;400
11/02/2021;Total;Total;Total;Total;Mujer;1700;200;7;35;2;760;380
12/02/2021;Total;Total;Total;Total;Mujer;1850;250;6,5;45;2,5;840;420
13/02/2021;Total;Total;Total;Total;Mujer;1900;150;7,5;55;3;820;410
14/02/2021;Total;Total;Total;Total;Mujer;1950;300;8;67;1,5;900;450
15/02/2021;Total;Total;Total;Total;Mujer;1900;250;7,5;77;2,5;860;430
16/02/2021;Total;Total;Total;Total;Mujer;1950;300;7;40;4;900;450
17/02/2021;Total;Total;Total;Total;Mujer;2000;350;8;35;2;940;470
18/02/2021;Total;Total;Total;Total;Mujer;2050;350;8;36;2,5;960;480
19/02/2021;Total;Total;Total;Total;Mujer;1950;200;7;42;3;860;430
20/02/2021;Total;Total;Total;Total;Mujer;2100;300;8;56;1,5;960;480
21/02/2021;Total;Total;Total;Total;Mujer;2000;250;7,5;57;2,5;900;450
22/02/2021;Total;Total;Total;Total;Mujer;2050;300;7;35;4;940;470
23/02/2021;Total;Total;Total;Total;Mujer;2150;250;7,5;45;2;960;480
24/02/2021;Total;Total;Total;Total;Mujer;2200;300;8;60;2,5;1000;500
25/02/2021;Total;Total;Total;Total;Mujer;2250;350;8;70;3;1040;520
26/02/2021;Total;Total;Total;Total;Mujer;2150;300;7;45;1,5;980;490
27/02/2021;Total;Total;Total;Total;Mujer;2250;350;7,5;46;2,5;1040;520
28/02/2021;Total;Total;Total;Total;Mujer;2300;350;8;35;4;1060;530
01/01/2021;Total;Google ads;Total;Total;Total;500;150;5;40;2,5;260;130
02/01/2021;Total;Google ads;Total;Total;Total;750;100;6;35;3;340;170
03/01/2021;Total;Google ads;Total;Total;Total;750;250;4;36;1,5;400;200
